time/total_timesteps,time/iterations,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,train/std,train/approx_kl,train/policy_gradient_loss,train/value_loss,train/clip_range,train/n_updates,train/clip_fraction,train/explained_variance,train/loss,train/entropy_loss,train/learning_rate
2048,1,735,6.27,11.060958819999996,2,,,,,,,,,,,
4096,2,466,6.4,11.170276869999999,8,1.002420425415039,0.0018792236,-0.0001386121948598884,19.135988134145737,0.2,10,0.0029296875,-0.013067126274108887,1.1180925369262695,-1.4193286564201117,0.0003
6144,3,430,6.22,10.909426970000002,14,1.003835678100586,0.00054752827,-0.00034516509622335435,2.421920370310545,0.2,20,0.00361328125,0.6458311676979065,0.9877755641937256,-1.422045011818409,0.0003
8192,4,412,6.32,11.09979239,19,0.9737711548805237,0.0017984635,-0.0012222063465742393,1.5925588013604284,0.2,30,0.0068359375,0.8462180942296982,0.6132674813270569,-1.4070735957473517,0.0003
10240,5,415,6.45,11.290182720000002,24,0.9622785449028015,0.0019846454,-0.0005433401616755873,1.2519820190966129,0.2,40,0.0134765625,0.8833407983183861,0.6205090284347534,-1.3861530635505914,0.0003
12288,6,403,6.26,10.986720859999998,30,0.958649754524231,0.0018410975,-0.0010344190406613052,0.9918514342978597,0.2,50,0.013818359375,0.9088228940963745,0.468116819858551,-1.3794473730027677,0.0003
14336,7,402,6.22,10.947743799999998,35,0.948911726474762,0.00189817,-0.0011850064169266262,5.155624807998538,0.2,60,0.0048828125,0.6232450306415558,0.6172362565994263,-1.3720990125089885,0.0003
16384,8,404,6.31,11.093123660000002,40,0.9456933736801147,0.002592107,-0.0015668071544496342,0.9631099289283156,0.2,70,0.0154296875,0.9011063426733017,0.5024855732917786,-1.3665845356881618,0.0003
18432,9,407,6.32,11.13620241,45,0.9631471633911133,0.0012842702,-0.0007001657686487306,1.0266647342592479,0.2,80,0.005712890625,0.9088304489850998,0.3672578036785126,-1.3732074737548827,0.0003
20480,10,409,6.32,11.028954000000004,50,0.9705142378807068,0.0019240293,-0.002048723703774158,7.213859008438885,0.2,90,0.009375,0.6016164422035217,2.9414150714874268,-1.386571890488267,0.0003
