rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,time/iterations,rollout/ep_rew_mean,time/fps,train/loss,train/learning_rate,train/policy_gradient_loss,train/std,train/clip_fraction,train/approx_kl,train/clip_range,train/explained_variance,train/n_updates,train/entropy_loss,train/value_loss
6.34,2048,2,1,10.989050850000002,719,,,,,,,,,,,
6.3,4096,8,2,10.92179891,483,1.008078694343567,0.0003,-0.0006324132700683549,1.001429796218872,0.003271484375,0.0005996317,0.2,-0.020510196685791016,10,-1.417645064741373,18.827920264005662
6.3,6144,13,3,10.92691198,442,0.8681129813194275,0.0003,-0.003423378255683929,1.041586995124817,0.036669921875,0.004934742,0.2,0.6924298405647278,20,-1.4459656957536935,1.9442017503082751
6.22,8192,21,4,10.7841286,378,0.6577062606811523,0.0003,-0.00041484362882329153,1.0543938875198364,0.006298828125,0.0012265595,0.2,0.8605137765407562,30,-1.4658365506678819,1.3873288553208112
6.21,10240,26,5,10.7611013,382,0.4001721441745758,0.0003,-0.0011727182150934822,1.0472705364227295,0.017041015625,0.0024322623,0.2,0.8938046768307686,40,-1.46857865229249,1.0659492844715714
6.31,12288,30,6,10.915616979999998,399,0.386814683675766,0.0003,-0.0006629686809901614,1.0586134195327759,0.011279296875,0.002455772,0.2,0.9040896818041801,50,-1.4721576586365699,1.0186441405676305
6.25,14336,35,7,10.826833679999998,406,0.4282042980194092,0.0003,-0.000628359268011991,1.0575352907180786,0.008984375,0.0015886528,0.2,0.9071527943015099,60,-1.475232918187976,1.0129378391429782
6.28,16384,40,8,10.88934065,405,0.3975783586502075,0.0003,-0.0021298988183843905,1.0614674091339111,0.028564453125,0.002862915,0.2,0.901945449411869,70,-1.4763721637427807,1.099357348959893
6.37,18432,50,9,11.038576919999999,366,0.717948317527771,0.0003,-0.0006689648689643946,1.0505945682525635,0.00673828125,0.0009969838,0.2,0.9273846745491028,80,-1.4731664050370454,0.7865079827606678
6.33,20480,66,10,11.016643449999997,307,0.32233285903930664,0.0003,-0.0005456492130178958,1.0478593111038208,0.008349609375,0.001954266,0.2,0.9263323992490768,90,-1.4651832416653634,0.8143622317351401
